DEPTH,GR,RHGX_HILT,NPHI,AT10,AT20,AT30,AT60,AT90,PEFZ
3395.7769,155.11237,2.7748613,0.038782798,1268.6886,208.44783,485.9409,436.15805,195.25322,3.420041
3395.6245,156.64217,2.7508507,0.038490772,1366.7069,312.70166,1838.9777,1812.275,264.68793,3.1804955
3395.472,159.51613,2.7362115,0.033926174,1549.1973,648.6299,1950.0,1950.0,711.1194,3.7020826
3395.3196,157.98976,2.7271707,0.023834908,1258.1525,743.9789,1950.0,1812.9717,1195.0408,3.723693
3395.1672,155.7166,2.7474463,0.02329922,685.46344,323.35782,1950.0,1278.3062,825.9839,3.4646614
3395.015,175.56506,2.7926006,0.045521315,298.51123,173.53365,499.09192,645.51434,283.79187,3.736474
3394.8623,186.77708,2.8170369,0.07568357,181.81963,120.20372,221.23808,264.19318,122.51974,3.907796
3394.71,190.69604,2.8293772,0.08189631,166.62256,118.92836,202.34042,215.85733,263.27402,3.8906183
3394.5576,179.41142,2.8272223,0.079046264,107.548454,79.229744,86.88327,78.25054,116.231964,3.6433856
3394.4053,183.59566,2.850843,0.077212326,213.316,86.72319,110.94138,97.30591,144.8114,3.554687
3394.253,184.82295,2.8579879,0.085748136,172.74393,114.57082,120.14261,104.03643,139.28294,3.6508691
3394.1003,179.3562,2.8352056,0.075079985,416.2167,527.27423,371.39502,250.49112,260.40198,3.525733
3393.948,168.16612,2.8036845,0.05434085,407.49158,363.973,638.18414,1589.4336,360.24426,3.7570615
3393.7957,161.30211,2.771939,0.042597193,279.77347,176.73822,963.4976,1054.4644,453.7583,3.6963468
3393.6433,160.44633,2.7479832,0.03927539,257.63815,105.882576,659.6172,823.78326,218.99387,3.592648
3393.4907,157.66046,2.712559,0.031442024,176.01425,83.966,468.67975,553.0233,118.512634,3.5510442
3393.3384,153.84686,2.7053025,0.020545905,150.27145,106.92787,431.93515,235.21663,78.34058,3.6265373
3393.186,153.35298,2.7188876,0.028940026,169.92717,339.14487,364.76083,140.62299,95.55035,3.8735228
3393.0337,158.14307,2.7578483,0.04653124,215.7089,421.22913,382.36185,87.29076,82.75871,3.7844496
3392.881,165.44984,2.7751672,0.057212077,183.7734,715.93854,259.41895,93.13567,82.921196,3.629826
3392.7288,169.5583,2.784843,0.05977204,156.9056,890.76996,243.71478,134.99963,102.8963,3.6513498
3392.5764,165.35062,2.7748036,0.05686747,80.466805,370.2346,160.46611,155.08801,101.73099,3.6686635
3392.424,167.73235,2.7706506,0.054352596,137.69965,232.98204,218.46895,309.12906,120.547165,3.5927973
3392.2717,166.27487,2.7621439,0.05174255,180.85172,172.94908,289.3566,412.80743,115.2638,4.1822743
3392.1191,170.72075,2.7685037,0.048332207,100.622086,60.85318,161.1123,247.63477,37.44323,3.865122
3391.9668,168.85359,2.7827048,0.060475145,118.55025,72.74483,79.42335,204.70326,66.33641,3.668074
3391.8145,173.41742,2.8008778,0.059605308,181.88829,164.1513,437.99014,147.4296,411.20642,3.7090611
3391.662,171.10889,2.795613,0.057677258,182.1495,149.72769,282.40793,115.312996,236.1404,3.6816614
3391.5095,172.71455,2.792692,0.05432817,172.93185,131.40361,573.013,187.5562,216.57672,3.4855328
3391.3572,173.7086,2.8107276,0.06548827,189.80574,168.45795,749.44104,389.42346,171.335,3.4536808
3391.2048,175.03271,2.8152366,0.07185884,141.93788,151.49725,495.7173,787.23376,126.77906,3.8567483
3391.0525,165.94788,2.7750654,0.052508418,168.73247,315.4674,1170.0936,1868.7732,236.13322,3.972167
3390.9,158.0768,2.7347417,0.019572865,319.37808,286.65463,1150.4327,1004.3806,342.579,4.2650566
3390.7476,145.3853,2.7051377,0.009506223,588.73895,307.93106,1290.1077,548.00256,255.29047,3.9863634
3390.5952,144.59422,2.7041647,0.008699945,659.2964,508.23477,1843.8158,316.26978,132.77559,3.7033818
3390.4429,139.42964,2.718649,0.015902463,200.33821,298.10202,343.4054,242.4648,72.58231,3.7621875
3390.2905,152.57965,2.7491415,0.034998205,395.55136,162.17387,232.87491,124.06614,77.882416,3.7538774
3390.138,156.434,2.7591999,0.05016246,377.5164,138.52438,107.991165,68.34305,70.32699,3.5361931
3389.9856,159.05414,2.7474122,0.04282953,439.51294,177.20096,139.33665,73.657936,140.6976,3.6654837
3389.8333,152.01442,2.7469528,0.03158302,1763.1495,1151.0807,468.66595,105.23807,831.33795,3.9509764
3389.681,153.24895,2.772403,0.03208118,1015.7105,319.716,341.79474,319.5865,1950.0,3.9955168
3389.5283,160.35582,2.7910314,0.051662654,657.3912,147.68108,390.16556,443.91745,999.7932,3.947882
3389.376,166.61674,2.8146005,0.066172555,619.61975,124.03142,279.4685,289.0387,319.6316,3.6356535
3389.2236,165.29771,2.8234525,0.06909229,380.9554,103.585556,197.63762,207.66237,235.60368,3.4911711
3389.0713,165.64867,2.8124866,0.06762582,179.16246,43.266838,47.314037,45.04508,60.07386,4.1930175
3388.9187,162.28107,2.8121448,0.06409562,158.09535,117.74109,183.41882,81.010704,198.63763,5.0803723
3388.7664,161.66985,2.8118222,0.06607553,272.78333,406.64957,501.75772,142.12347,295.4311,5.2522874
3388.614,158.51123,2.8300977,0.067650765,403.6643,154.33873,1950.0,1594.1155,1187.608,3.5347795
3388.4617,163.86656,2.839758,0.074573986,177.12926,68.20854,460.53262,427.01352,88.74941,3.3653548
3388.3093,166.58647,2.832736,0.07893974,84.194145,53.629494,230.5365,253.25975,36.049644,3.3342748
3388.1567,170.44699,2.8240597,0.07020468,109.3379,92.940506,317.81735,287.59784,120.387825,3.3583462
3388.0044,168.59198,2.8068547,0.06060342,87.17449,184.1282,224.78207,182.68616,209.04555,3.305094
3387.852,171.48738,2.8080742,0.05310551,207.93538,292.42026,243.44482,125.65856,307.25928,3.2077556
3387.6997,174.646,2.7978268,0.057072304,265.1124,272.33994,241.59387,181.42255,424.08624,3.287898
3387.547,175.14604,2.8113632,0.06539138,174.22821,205.57559,434.96075,265.032,461.60193,3.1814487
3387.3948,176.72534,2.8299139,0.07620254,131.49538,114.88815,365.5159,295.18457,250.59975,3.186903
3387.2424,176.20436,2.8377326,0.080962256,171.66127,75.385635,309.71088,388.62042,359.791,3.2518666
3387.09,176.8877,2.819603,0.07541494,122.99729,69.11438,192.17625,481.76617,368.84247,3.3102114
3386.9375,171.00917,2.786887,0.0620053,264.22153,149.01414,301.04547,392.98413,375.39093,3.1907022
3386.7852,165.8271,2.7631588,0.05052016,498.76526,421.15164,315.77448,536.041,883.73987,3.146615
3386.6328,155.91258,2.7498767,0.04705154,1660.0714,896.5449,939.6553,655.64404,1585.6039,3.1575406
3386.4805,153.36815,2.7535367,0.04211986,357.8209,185.93214,1671.3237,1137.2007,1436.2019,3.2348762
3386.3281,146.85999,2.7480705,0.03980814,147.09274,71.28051,210.90108,322.19995,168.65773,3.2116694
3386.1755,155.89713,2.7436168,0.036213465,123.34057,49.145557,111.699974,235.78816,90.15333,3.3014808
3386.0232,162.4871,2.7270956,0.028832898,93.71496,81.59522,132.17567,129.46927,102.62417,3.3108923
3385.8708,161.8884,2.7151442,0.023149235,94.69223,77.27262,78.11945,96.13204,100.09154,3.1799269
3385.7185,161.18648,2.7257373,0.020761821,111.08199,78.23974,57.599987,55.438564,66.87469,3.2400634
3385.566,160.041,2.763165,0.039910816,145.46022,98.31626,78.48202,80.715164,107.31294,3.3701875
3385.4136,168.11299,2.7764766,0.056984283,245.2793,141.36876,129.93633,149.57066,181.41467,3.333953
3385.2612,155.03986,2.7449691,0.0516147,383.3493,219.36082,190.86723,280.21762,302.50565,3.2076497
3385.109,145.18437,2.7147205,0.02973104,1876.3422,334.34024,948.89636,1288.5153,1006.77716,3.2014277
3384.9565,143.60506,2.723555,0.025776925,1950.0,264.942,500.72073,607.7593,534.1111,3.8497052
3384.804,156.32724,2.7735689,0.04166257,1667.3961,351.23865,339.8632,343.7876,378.47946,4.518161
3384.6516,166.87997,2.814339,0.057203863,1195.4935,321.07483,278.11728,277.3489,392.04745,4.5608883
3384.4993,165.98643,2.8420126,0.070703536,1104.4799,359.58838,220.97284,215.95836,334.3123,4.224116
3384.347,164.97107,2.8492343,0.07953451,1497.2412,472.51367,289.75067,318.28943,566.0744,3.2900157
3384.1943,162.5024,2.8225079,0.074246176,1014.43024,333.91522,459.23044,568.86487,905.7225,3.3237045
3384.042,157.16644,2.8020067,0.050234642,426.7546,151.8239,363.35495,312.38422,472.3044,3.1598206
3383.8896,157.4799,2.8083537,0.044856936,187.53824,86.31896,138.76607,238.47955,105.438866,3.1762319
3383.7373,155.41621,2.8306522,0.04832646,166.08673,81.19524,107.30222,174.98401,98.89338,3.2523184
3383.5847,158.83804,2.7994685,0.05677196,284.26706,110.848915,107.70973,141.60925,115.92999,4.662546
3383.4324,156.86987,2.7495856,0.044567622,603.36755,129.24768,124.836136,142.09602,168.60175,4.594205
3383.28,153.067,2.7244678,0.03901336,1288.9587,144.72925,139.97191,178.30746,290.74042,4.3349266
3383.1277,159.73518,2.7649786,0.05914731,1644.0784,151.24786,173.23074,341.7701,392.909,4.601732
3382.9753,168.89796,2.8422222,0.085050374,1848.6583,172.40695,201.91455,695.6997,415.67273,4.7035036
3382.8228,184.59871,2.889183,0.114094205,1943.7217,203.64473,249.53334,979.7871,555.5443,4.0007343
3382.6704,188.12262,2.9044716,0.11170722,1931.2948,228.04988,273.94122,960.50085,1067.7233,4.151602
3382.518,185.71043,2.888585,0.09714614,1883.353,244.3377,309.42548,892.9705,1418.3145,4.1290593
3382.3657,177.02881,2.8610544,0.07864695,1112.6898,176.45567,202.92567,633.50995,1125.2646,4.594301
3382.2131,169.73213,2.8274014,0.06795239,683.4579,251.53752,284.79916,548.14484,1661.8723,4.9832706
3382.0608,163.91817,2.7894087,0.055692263,828.22327,222.88455,177.60326,436.47852,451.0758,4.937364
3381.9084,154.17912,2.7466424,0.038934454,1319.8276,244.98172,238.92146,732.1883,798.73584,4.755132
3381.756,147.364,2.7261198,0.02267441,1640.2328,205.67839,287.33722,982.7588,841.05096,4.58621
3381.6035,145.14917,2.7380326,0.025311949,1186.3435,253.20482,275.29547,582.11035,553.145,4.5001354
3381.4512,154.06898,2.7766366,0.041178282,586.3004,172.72882,164.86234,295.3077,329.06384,3.8151
3381.2988,165.84227,2.80796,0.062240116,275.34552,101.92751,89.1388,119.59468,152.47939,4.187853
3381.1465,172.17854,2.8314214,0.06550727,314.35016,117.371254,108.09618,154.20293,185.37294,4.2777724
3380.9941,171.78242,2.8149133,0.06507597,665.76776,142.36299,164.08615,289.69876,345.48285,4.6685033
3380.8416,166.73656,2.7826319,0.04705101,1313.2897,243.4824,283.47888,600.96387,705.25836,4.893245
3380.6892,158.38226,2.7283683,0.037215568,1834.781,225.78345,241.84412,694.2045,840.2342,4.490714
3380.5369,153.19456,2.721774,0.023874165,1950.0,250.58434,271.41202,776.4002,1026.0183,4.079942
3380.3845,144.85933,2.7303088,0.026063042,1950.0,254.61366,260.43982,771.76074,905.04364,4.7824254
3380.232,142.17229,2.7382765,0.029838102,1950.0,258.38248,265.1821,972.4959,795.8501,5.385392
3380.0796,141.38072,2.7398298,0.052758545,1950.0,258.2478,241.5808,956.8323,643.9107,4.5016627
3379.9272,145.76768,2.7444468,0.060880475,1950.0,303.31616,262.84482,1138.0552,969.8083,4.421498
3379.775,150.01413,2.7572207,0.05520278,1923.6375,255.30618,266.82794,1087.3898,1258.5342,4.184766
3379.6223,152.7419,2.7574787,0.04160238,1827.3545,149.09723,182.6014,709.4313,998.11633,4.5457625
3379.47,155.28633,2.7434988,0.033596147,1851.2008,167.88847,203.60982,706.6681,883.19617,4.2317276
3379.3176,160.85677,2.7513163,0.036971755,1794.1559,176.21928,188.84813,505.63055,602.96387,4.138525
3379.1653,165.58684,2.787286,0.045770112,1652.047,194.29553,192.04555,556.8433,675.198,4.3470893
3379.013,175.58911,2.80916,0.06651748,1304.7651,159.44696,140.5272,236.18164,345.1577,4.006426
3378.8604,175.12744,2.7934635,0.07769266,1599.0121,156.46426,158.38815,308.4039,387.75006,3.7227144
3378.708,170.38953,2.7321942,0.061046217,1569.8,157.57866,162.25548,328.14804,379.59668,3.494219
3378.5557,154.2455,2.6944075,0.046070866,1224.1669,167.09163,162.02397,310.80356,336.1293,4.308779
3378.4033,150.22609,2.6890898,0.024324078,803.63696,138.99413,134.79114,241.80846,257.9942,4.6531124
3378.2507,154.54828,2.7067676,0.023977205,764.0488,134.88509,129.62422,224.76918,240.00204,4.4274473
3378.0984,161.91838,2.7282016,0.025925713,673.40497,126.573524,128.52034,236.42279,248.04602,4.3034306
3377.946,163.0424,2.7534235,0.02815222,932.13257,160.48575,172.77223,346.8263,375.22437,3.7936296
3377.7937,161.08916,2.7566533,0.041438665,633.2448,138.81918,175.93373,408.9317,433.83752,3.692094
3377.641,157.53752,2.7723806,0.04149969,352.03864,131.7664,189.07875,504.59344,413.45624,4.1212482
3377.4888,152.62413,2.7773068,0.040560115,198.39435,125.811,172.17445,505.90463,532.7674,4.0472784
3377.3364,155.26532,2.781548,0.037425674,147.88844,161.33759,161.62958,465.938,653.8299,4.67075
3377.184,158.46602,2.7859063,0.047552787,254.74045,290.17203,172.15956,451.35568,568.5555,4.5530777
3377.0317,166.2748,2.7855728,0.058634125,640.70044,381.74255,240.88005,411.8681,740.55914,4.2170773
3376.8792,163.01942,2.7883687,0.061059628,1663.951,309.20157,284.27646,636.21594,631.8661,4.2683315
3376.7268,163.72133,2.8008208,0.057343133,1057.9739,209.7134,228.47926,594.44714,389.04617,4.5650845
3376.5745,159.6826,2.8135476,0.061170783,729.0752,129.87904,135.83493,288.70715,227.33604,4.4027386
3376.422,167.49138,2.8271465,0.066366814,1047.3817,175.48703,177.62875,342.166,367.51697,4.510084
3376.2695,170.33937,2.8377655,0.070202604,1258.2657,177.64093,191.94583,299.02988,463.98236,4.405247
3376.1172,174.29036,2.8374305,0.07354424,1077.2743,135.7416,154.77998,293.53296,377.14386,4.5169787
3375.9648,171.04402,2.8455415,0.07216683,740.2415,106.583694,116.90167,248.91151,269.10016,4.800236
3375.8125,166.31331,2.8309467,0.07160679,842.0598,152.1911,165.08069,405.62897,439.7024,4.807814
3375.66,165.6114,2.7933686,0.05882209,1296.018,212.79562,222.79721,698.93024,804.8859,4.5689726
3375.5076,162.36507,2.786874,0.047897838,1759.9498,228.5117,237.85037,1004.8915,1286.8063,4.499337
3375.3552,171.53014,2.7928317,0.060799316,1950.0,241.00722,263.40598,939.54895,1255.162,4.364626
3375.203,172.53143,2.8168745,0.071689494,1950.0,186.62238,200.2903,694.9647,862.7691,4.82018
3375.0505,173.74414,2.8038287,0.07216118,1950.0,185.34448,201.4708,657.2487,731.7766,4.027638
3374.898,170.89326,2.7970057,0.062043477,1950.0,195.80174,204.62317,589.4083,748.02264,4.0660677
3374.7456,174.43909,2.798533,0.050227653,1950.0,201.73447,224.17068,636.39636,849.45874,4.0044994
3374.5933,174.91545,2.7847936,0.04950617,1950.0,225.08835,251.3681,836.236,1025.0247,4.701144
3374.441,166.70203,2.775475,0.03787255,1950.0,215.41562,255.0473,1212.6826,1167.3422,5.0235705
3374.2883,154.63466,2.76239,0.02681963,1950.0,212.26343,247.53052,1155.0527,1123.234,5.097383
3374.136,143.11261,2.7578175,0.017841019,1950.0,242.60664,255.96649,739.35846,894.2607,5.735485
3373.9836,145.19487,2.7812526,0.022706,1950.0,158.98674,167.03975,393.1231,517.3645,5.6018496
3373.8313,153.63307,2.793886,0.04636754,1950.0,179.49956,191.87799,507.92822,698.9093,5.2541575
3373.6787,167.0692,2.811652,0.061183836,1950.0,251.94862,270.9642,884.7249,1142.6632,4.88764
3373.5264,168.44994,2.800279,0.062958635,1950.0,210.9404,232.15382,1274.3386,1502.2397,5.2522736
3373.374,165.25151,2.8061576,0.05883795,1950.0,218.81123,239.2486,1498.8313,1716.2904,5.115823
3373.2217,164.58708,2.8140032,0.07141267,1950.0,230.61864,256.55603,1264.0609,1578.445,5.4155793
3373.0693,170.03394,2.832117,0.08578656,1950.0,188.04341,213.82457,916.8253,1239.403,5.5538063
3372.9167,172.49504,2.8294313,0.08791407,1950.0,170.14601,204.6203,898.1682,1081.7216,4.744922
3372.7644,167.80739,2.8093262,0.0755408,1950.0,225.02304,281.60834,962.1926,1118.514,4.6657543
3372.612,162.5858,2.7902384,0.063131474,1950.0,254.57994,270.7427,712.1257,822.7045,4.734683
3372.4597,166.26201,2.770725,0.052138958,1950.0,149.71576,159.45624,390.39612,431.2101,4.777809
3372.3071,172.14009,2.7676237,0.049878806,1950.0,193.29506,199.62308,633.7766,699.61896,4.885897
3372.1548,172.9952,2.7657442,0.050295558,1950.0,216.46986,231.84071,903.8192,988.5142,4.9352827
3372.0024,167.03261,2.7736104,0.05232909,1950.0,220.91826,230.81422,867.098,1049.6803,4.6444182
3371.85,165.09694,2.7752676,0.05323946,1950.0,198.0336,217.47418,870.7133,966.14764,4.48945
3371.6975,167.18352,2.7968123,0.055804927,1950.0,183.46875,207.30472,784.4093,978.1571,4.334627
3371.5452,175.48053,2.8274255,0.072055,1950.0,191.90329,214.98288,811.93604,1047.9594,4.578104
3371.3928,177.2353,2.8503096,0.088817455,1950.0,218.81511,241.47256,920.3112,1278.5894,4.263432
3371.2405,179.3007,2.844587,0.093026005,1950.0,242.64874,262.9474,1029.6786,1537.9675,5.5179744
3371.0881,173.11066,2.8254712,0.08430631,1950.0,234.95364,251.45923,1114.398,1522.4331,5.0858135
3370.9355,168.81145,2.7969236,0.072609745,1950.0,240.52237,235.38916,1138.6431,1390.2532,4.876528
3370.7832,163.76614,2.7580707,0.05407414,1950.0,232.70454,238.47362,1218.4135,1391.1433,4.9457183
3370.6309,157.53545,2.7308238,0.03700688,1950.0,229.06236,240.10475,960.0552,1111.9606,5.6239405
3370.4785,155.69292,2.7220123,0.02462865,1735.1443,229.01154,235.2876,564.3213,656.4234,5.8060284
3370.326,155.92258,2.7429185,0.029988984,1178.9551,165.29382,165.26147,326.65137,356.70264,5.3815293
3370.1736,166.18806,2.7680047,0.0439405,819.6908,118.375824,118.840965,210.68526,222.0428,4.4155064
3370.0212,169.7162,2.7844641,0.05698345,744.5368,141.7202,145.82774,309.67966,311.81757,4.0234103
3369.869,171.7242,2.8131785,0.06411353,1199.1527,229.09064,251.4978,608.9059,656.4166,4.129114
3369.7163,175.40924,2.8408248,0.076592244,1688.451,266.51416,295.99078,1068.4309,1229.0106,4.2539816
3369.564,180.59932,2.882315,0.09063387,1950.0,293.93976,318.53317,1285.6243,1479.3508,3.912486
3369.4116,180.68706,2.9157596,0.100376464,1950.0,235.74602,242.33975,837.6549,1036.3167,3.957227
3369.2593,178.96776,2.9351988,0.09964473,1950.0,202.14224,212.02502,576.54663,719.39526,4.0744877
3369.107,170.60048,2.8815958,0.07446118,1950.0,144.11404,150.35855,330.7372,472.96887,3.7214994
3368.9543,162.08978,2.8012683,0.034030657,1950.0,222.44643,239.19096,658.1456,913.187,3.7664387
3368.802,153.75572,2.7308466,0.02304116,1950.0,233.12329,271.82794,1042.7117,1320.6034,3.8189735
3368.6497,150.1584,2.7320044,0.025820045,1933.6244,266.73114,294.516,1049.6906,1211.4086,3.8300831
3368.4973,160.95032,2.746465,0.037062157,1547.9949,247.30458,263.89606,673.2106,825.0293,3.8682148
3368.3447,167.22285,2.7936954,0.059482533,867.4501,167.3903,167.22633,371.82648,418.21112,3.6399274
3368.1924,169.08025,2.8305435,0.084306926,496.3904,120.798965,120.40654,252.49518,314.5775,3.6680315
3368.04,157.23546,2.8078775,0.079558656,425.96146,134.44292,136.77446,258.75687,300.94717,3.8084924
3367.8877,138.46179,2.7589922,0.042579364,797.51135,172.59163,186.54585,404.92493,457.3043,3.9157114
3367.735,121.07456,2.7170732,0.01188499,1424.6155,227.69579,243.63638,630.854,697.7729,3.9160123
3367.5828,103.88479,2.7050736,0.005343149,1854.2579,185.58766,222.49706,640.9596,719.59674,3.933949
3367.4304,98.80143,2.6929898,0.0055243694,1950.0,234.5498,271.16855,812.1507,1022.2715,3.9123464
3367.278,103.01292,2.6923347,0.0036005948,1950.0,242.33673,251.3096,760.421,1089.853,3.9123464
3367.1257,113.35905,2.6908891,0.006880092,1950.0,258.08075,245.05005,764.575,1111.4554,3.9123464
3366.9731,114.27537,2.68897,0.0057282792,1950.0,285.66196,250.9551,766.93353,1029.5183,3.9123464
3366.8208,106.7298,2.6847336,0.002870686,1940.0725,250.17589,261.55316,752.2936,838.7688,3.9123464
